Input Token,Output Token,Input Amount,Uniswap Return,Kyber Expected Rate,Kyber Min Return,Timestamp
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:41-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:44-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:44-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:44-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:44-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:47-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:47-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:47-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:47-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:50-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:50-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:50-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:50-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:53-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:53-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:53-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:53-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:56-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:56-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:56-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:56-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:58:59-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:58:59-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:58:59-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:58:59-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:59:02-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:59:02-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:59:02-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:59:02-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:59:05-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:59:05-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:59:05-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:59:05-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:59:08-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:59:08-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:59:08-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:59:08-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:59:11-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:59:11-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:59:11-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:59:11-06:00
ETH,MKR,1,1.646081484802337867,1.669581410434885002,1.619493968121838451,2021-12-11T15:59:14-06:00
ETH,DAI,1,3994.834968468037103035,4001.341774466243054415,3881.301521232255762782,2021-12-11T15:59:14-06:00
ETH,KNC,1,1547.712839653086332795,2846.81419413198870287,2761.409768308029041783,2021-12-11T15:59:15-06:00
ETH,LINK,1,142.721651596426928277,205.20519576158912978,199.049039888741455886,2021-12-11T15:59:15-06:00
